,EASTERN REGION,,,,METROPOLITAN NORTH WEST REGION,,,,METROPOLITAN SOUTH EAST REGION,,,,NORTH EASTERN REGION,,,,NORTHERN REGION,,,,SOUTH WESTERN REGION,,,,WESTERN REGION,,,
DATE,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER
16/1/2016,0,2,0,1,0,8,0,6,1,7,0,9,0,1,0,3,0,1,0,2,0,3,0,1,0,1,0,2
17/1/2016,0,2,0,3,0,5,0,4,0,7,0,10,0,2,0,2,0,1,0,1,0,1,0,2,0,0,0,1
18/1/2016,0,0,0,3,0,2,0,14,0,4,0,11,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1
19/1/2016,0,0,0,4,0,3,0,8,0,8,0,9,0,0,0,2,0,1,0,2,0,0,0,4,0,0,0,4
20/1/2016,0,1,0,5,0,6,0,9,1,10,0,13,0,1,0,0,0,0,0,1,0,3,0,2,0,1,0,0
21/1/2016,0,1,0,0,0,1,0,14,0,4,0,10,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0
22/1/2016,0,0,0,5,0,7,0,12,1,10,0,17,0,2,0,0,0,4,0,2,0,1,0,2,0,1,0,1
23/1/2016,0,1,0,2,0,9,0,8,1,8,0,5,1,0,0,0,0,0,0,3,0,2,0,1,0,0,0,3
24/1/2016,0,1,0,3,0,6,0,13,0,8,0,6,0,3,0,3,0,2,0,1,0,1,0,0,0,1,0,0
25/1/2016,0,0,0,4,0,6,0,4,0,4,0,8,0,1,0,2,0,1,0,0,0,1,0,2,0,0,0,2
26/1/2016,0,1,0,1,0,6,0,5,0,4,0,6,0,2,0,2,0,1,0,2,0,2,0,1,2,1,0,2
27/1/2016,0,2,0,2,2,7,0,12,0,6,0,13,0,2,0,1,0,3,0,0,1,1,0,3,0,2,0,1
28/1/2016,1,1,0,2,0,4,0,12,2,5,0,6,0,1,0,2,0,0,0,0,0,2,0,3,0,2,0,2
29/1/2016,0,1,0,2,0,4,0,20,0,12,0,8,1,3,0,2,0,2,0,4,0,0,0,2,0,1,0,1
30/1/2016,0,1,0,3,0,7,0,8,0,5,0,8,0,2,0,2,0,2,0,1,0,0,0,2,0,1,0,1
31/1/2016,0,1,0,1,0,3,0,4,0,3,0,8,0,1,0,4,0,1,0,1,0,1,0,2,0,0,0,1
1/2/2016,0,0,0,3,1,5,0,13,0,10,0,16,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1
2/2/2016,0,1,0,1,1,5,0,11,1,5,0,11,0,2,0,1,0,0,0,2,0,0,0,4,0,1,0,3
3/2/2016,0,0,0,2,0,5,0,13,0,6,0,10,0,1,0,2,0,1,0,1,0,0,0,5,0,0,0,0
4/2/2016,1,0,0,1,1,7,0,19,0,4,0,11,0,0,0,2,0,0,0,3,0,1,0,1,0,0,0,1
5/2/2016,0,3,0,3,0,4,0,19,0,9,0,15,0,1,0,1,0,0,0,1,0,1,0,5,0,2,0,0
6/2/2016,0,0,0,1,0,7,0,9,0,7,0,14,0,1,0,1,0,2,0,0,0,0,0,4,1,1,0,2
7/2/2016,0,8,0,1,0,6,0,6,0,7,0,7,0,1,0,3,0,0,0,4,0,0,0,2,0,4,0,1
8/2/2016,1,0,0,5,1,4,0,13,0,4,0,7,0,4,0,1,0,0,0,1,0,2,0,2,0,0,0,1
9/2/2016,0,1,0,0,2,6,0,18,1,8,0,14,0,1,0,0,0,1,0,2,1,0,0,2,0,1,0,0
10/2/2016,0,1,0,4,0,3,0,6,1,9,0,12,1,1,0,1,1,1,0,2,0,1,0,NA,0,0,0,0
11/2/2016,0,1,0,2,0,4,0,16,0,7,0,17,0,0,0,1,0,1,0,2,0,2,0,2,0,0,0,1
12/2/2016,0,2,0,1,3,7,0,9,0,7,0,14,1,2,0,1,0,0,0,2,0,0,0,1,0,0,0,1
13/2/2016,0,1,0,1,0,7,0,6,1,4,0,9,0,2,0,3,0,1,0,1,0,2,0,2,0,1,0,1
14/2/2016,0,0,0,3,0,6,0,9,0,7,0,11,0,1,0,0,0,1,0,3,0,1,0,4,0,2,0,1
15/2/2016,0,0,0,1,1,6,0,11,0,6,0,10,0,1,0,3,0,1,0,2,0,2,0,3,1,0,0,2
16/2/2016,0,1,0,1,0,5,0,14,2,12,0,13,0,1,0,2,0,1,0,1,0,1,0,3,1,1,0,1
17/2/2016,0,3,0,3,0,1,0,5,0,10,0,16,0,0,0,0,0,1,0,4,0,4,0,5,0,2,0,0
18/2/2016,0,2,0,2,1,5,0,19,0,8,0,8,0,1,0,2,0,0,0,3,0,0,0,1,0,0,0,2
19/2/2016,0,0,0,2,0,4,0,8,1,10,0,8,0,0,0,0,0,2,0,1,0,4,0,0,0,0,0,0
20/2/2016,1,2,0,2,0,4,0,11,0,7,0,8,0,3,0,0,0,1,0,3,0,4,0,4,0,1,0,0
21/2/2016,0,1,0,2,0,5,0,7,1,7,0,10,0,5,0,5,0,0,0,1,1,2,0,4,2,1,0,1
22/2/2016,1,0,0,4,0,4,0,9,0,4,0,11,0,1,0,1,0,2,0,2,0,2,0,1,0,0,0,2
23/2/2016,1,0,0,3,0,7,0,16,0,8,0,11,0,1,0,0,0,1,0,5,0,1,0,0,1,3,0,0
24/2/2016,0,2,0,5,1,8,0,14,1,6,0,8,0,0,0,1,0,1,0,0,0,4,0,3,0,0,0,2
25/2/2016,0,1,0,0,0,3,0,17,1,8,0,12,1,0,0,0,0,1,0,3,0,1,0,3,0,1,0,4
26/2/2016,1,1,0,0,0,8,0,16,0,5,0,20,1,1,0,3,0,1,0,0,0,0,0,1,0,1,0,2
27/2/2016,0,3,0,3,2,3,0,11,0,9,0,7,0,3,0,3,0,1,0,5,0,1,0,3,0,1,0,0
28/2/2016,0,1,0,2,0,5,0,13,0,8,0,5,0,6,0,3,0,1,0,4,0,3,0,2,0,0,0,0
29/2/2016,0,0,0,2,0,6,0,14,0,7,0,14,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0
1/3/2016,1,1,0,0,0,4,0,17,0,11,0,13,0,1,0,1,0,1,0,1,0,1,0,3,0,0,0,5
2/3/2016,0,1,0,3,0,7,0,11,1,5,0,9,0,3,0,2,0,1,0,1,0,3,0,4,0,1,0,3
3/3/2016,1,0,0,1,0,7,0,16,2,9,0,14,1,1,0,1,0,1,0,6,0,1,0,1,0,0,0,1
4/3/2016,0,1,0,2,0,7,0,11,1,6,0,14,0,2,0,1,0,1,0,1,0,3,0,3,0,0,0,1
5/3/2016,0,0,0,3,0,6,0,8,0,9,0,6,0,4,0,1,0,0,0,0,0,2,0,2,1,1,0,2
6/3/2016,0,1,0,4,0,6,0,7,0,5,0,12,0,3,0,0,0,0,0,3,1,1,0,4,0,2,0,1
7/3/2016,0,0,0,1,0,1,0,7,0,9,0,8,0,2,0,1,1,0,0,2,0,1,0,0,0,1,0,1
8/3/2016,0,1,0,1,0,11,0,3,2,10,0,12,1,1,0,0,0,0,0,1,0,3,0,0,0,1,0,3
9/3/2016,0,1,0,1,0,2,0,15,1,7,0,9,0,1,0,1,0,2,0,1,0,0,0,2,0,1,0,1
10/3/2016,0,1,0,5,2,7,0,18,0,7,0,17,0,0,0,1,0,1,0,3,0,3,0,6,0,1,0,3
11/3/2016,0,4,0,3,0,9,0,8,0,8,0,10,0,2,0,2,0,2,0,1,0,1,0,3,0,3,0,4
12/3/2016,0,0,0,4,1,2,0,6,0,8,0,9,0,2,0,9,0,0,0,2,0,2,0,1,0,1,0,4
13/3/2016,0,2,0,4,0,2,0,7,0,7,0,7,1,4,0,2,0,4,0,0,0,6,0,2,0,3,0,1
14/3/2016,1,2,0,5,0,6,0,7,0,6,0,5,0,3,0,0,1,3,0,2,0,1,0,1,0,0,0,3
15/3/2016,0,0,0,0,0,4,0,13,1,4,0,10,0,4,0,0,0,3,0,2,0,1,0,3,0,1,0,2
16/3/2016,0,0,0,0,0,11,0,9,0,3,0,12,0,2,0,3,0,2,0,3,0,0,0,1,0,1,0,3
17/3/2016,0,0,0,0,0,9,0,18,0,12,0,7,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0
18/3/2016,0,0,0,5,0,8,0,12,0,10,0,20,1,0,0,3,0,1,0,2,0,2,0,2,0,1,0,3
19/3/2016,0,0,0,0,0,6,0,8,1,4,0,8,0,1,0,4,0,1,0,1,0,3,0,2,0,1,0,1
20/3/2016,0,2,0,3,0,5,0,10,0,4,0,10,0,6,0,1,0,2,0,6,0,1,0,1,0,0,0,1
21/3/2016,0,2,0,2,0,7,0,10,0,8,0,17,1,1,0,0,0,0,0,4,1,1,0,1,0,0,0,2
22/3/2016,0,0,0,5,0,7,0,14,0,5,0,13,0,3,0,1,0,0,0,6,0,0,0,1,0,2,0,3
23/3/2016,0,1,0,1,0,4,0,9,0,7,0,11,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,2
24/3/2016,0,0,0,1,0,7,0,6,1,5,0,13,0,1,0,0,0,0,0,0,0,2,0,3,0,1,0,0
25/3/2016,0,5,0,2,0,5,0,7,0,6,0,8,0,1,0,7,0,1,0,4,0,2,0,2,0,1,0,1
26/3/2016,0,3,0,7,0,4,0,6,0,4,0,6,0,3,0,7,0,1,0,5,1,1,0,1,0,2,0,3
27/3/2016,0,0,0,2,0,4,0,4,0,6,0,3,0,8,0,0,0,6,0,4,0,1,0,1,0,0,0,4
28/3/2016,0,1,0,0,0,4,0,3,0,5,0,4,0,2,0,1,0,1,0,2,0,0,0,1,0,0,0,1
29/3/2016,0,0,0,2,0,3,0,8,1,8,0,8,0,1,0,4,0,1,0,1,0,4,0,0,0,1,0,3
30/3/2016,1,1,0,2,0,4,0,14,0,4,0,13,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,1
31/3/2016,0,1,0,0,0,11,0,10,0,6,0,10,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0
1/4/2016,0,1,0,0,0,4,0,13,0,8,0,8,0,0,0,1,0,0,0,4,0,2,0,3,0,2,0,2
2/4/2016,0,0,0,2,0,5,0,9,0,8,0,7,0,1,0,0,0,2,0,1,0,1,0,2,0,0,0,3
3/4/2016,0,2,0,3,0,6,0,9,0,4,0,10,0,7,0,1,0,1,0,2,0,1,0,0,0,0,0,1
4/4/2016,0,1,0,0,0,2,0,13,0,8,0,12,0,2,0,3,0,1,0,2,0,3,0,2,0,1,0,1
5/4/2016,0,2,0,1,0,5,0,9,0,9,0,10,0,0,0,0,0,3,0,1,0,1,0,1,0,1,0,0
6/4/2016,0,0,0,3,0,5,0,17,0,14,0,12,0,0,0,2,0,1,0,2,0,2,0,0,0,2,0,2
7/4/2016,0,1,0,3,0,4,0,12,0,5,0,13,0,2,0,1,0,1,0,3,0,1,0,1,0,0,0,5
8/4/2016,0,1,0,1,0,7,0,14,1,9,0,8,0,2,0,2,0,1,0,3,0,3,0,0,0,0,0,3
9/4/2016,0,3,0,2,0,3,0,11,0,10,0,11,0,2,0,1,0,0,0,1,0,2,0,0,0,0,0,3
10/4/2016,0,0,0,0,0,9,0,8,0,6,0,7,0,3,0,4,0,2,0,3,0,1,0,2,0,4,0,3
11/4/2016,0,0,0,1,0,2,0,15,0,6,0,9,0,2,0,3,0,1,0,1,0,0,0,4,0,0,0,1
12/4/2016,0,0,0,1,0,5,0,18,1,8,0,9,0,1,0,2,0,1,0,0,0,3,0,1,0,2,0,2
13/4/2016,0,0,0,0,0,10,0,13,0,6,0,7,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0
14/4/2016,0,2,0,2,1,5,0,14,0,9,0,6,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,2
15/4/2016,0,0,0,4,0,9,0,16,0,10,0,10,0,2,0,3,0,1,0,3,0,3,0,2,1,1,0,2
16/4/2016,0,1,0,3,0,4,0,7,1,5,0,11,1,0,0,1,0,2,0,0,0,2,0,4,1,0,0,3
17/4/2016,0,4,0,1,0,5,0,6,0,4,0,9,0,0,0,2,0,6,0,5,0,0,0,0,0,1,0,3
18/4/2016,0,0,0,0,0,7,0,10,0,6,0,10,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0
19/4/2016,0,2,0,3,0,5,0,17,0,11,0,13,0,0,0,1,0,1,0,1,0,1,0,3,0,1,0,1
20/4/2016,0,1,0,2,2,8,0,17,0,8,0,11,0,1,0,0,0,2,0,0,0,0,0,2,0,2,0,1
21/4/2016,0,1,0,0,0,7,0,20,0,9,0,16,0,1,0,2,0,1,0,0,0,2,0,3,0,0,0,0
22/4/2016,0,0,0,2,0,5,0,15,0,8,0,9,0,0,0,1,0,1,0,3,0,2,0,4,0,2,0,2
23/4/2016,0,1,0,3,0,8,0,12,0,5,0,10,0,6,0,5,0,1,0,4,0,0,0,0,1,1,0,3
24/4/2016,0,3,0,5,1,6,0,7,0,6,0,9,0,2,0,3,0,1,0,0,0,4,0,6,0,1,0,4
25/4/2016,0,1,0,2,0,4,0,8,0,7,0,9,0,1,0,1,0,5,0,1,0,2,0,2,0,2,0,0
26/4/2016,0,0,0,2,1,4,0,14,0,5,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
27/4/2016,0,0,0,4,0,5,0,9,0,8,0,13,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0
28/4/2016,0,3,0,1,0,7,0,7,0,5,0,13,0,1,0,3,0,2,0,0,0,1,0,3,0,1,0,0
29/4/2016,0,1,0,2,0,14,0,18,1,8,0,13,0,1,0,2,2,0,0,2,0,4,0,3,1,0,0,3
30/4/2016,0,2,0,1,0,5,0,7,1,9,0,9,0,1,0,1,0,1,0,0,0,2,0,2,0,0,0,1
1/5/2016,0,0,0,2,0,7,0,4,0,11,0,4,0,0,0,0,0,0,0,4,0,1,0,1,0,2,0,5
2/5/2016,0,1,0,1,0,3,0,8,0,8,0,4,1,0,0,4,0,1,0,1,0,2,0,0,0,1,0,2
3/5/2016,0,1,0,4,0,1,0,5,1,11,0,9,0,2,0,2,0,1,0,2,0,3,0,2,0,0,0,2
4/5/2016,0,0,0,0,1,4,0,13,0,8,0,10,0,1,0,0,0,2,0,1,0,1,0,3,1,0,0,3
5/5/2016,0,0,0,4,0,9,0,14,0,13,0,11,0,0,0,3,0,1,0,1,0,1,0,3,0,0,0,0
6/5/2016,0,0,0,0,1,9,0,25,0,9,0,13,0,1,0,2,0,2,0,1,1,2,0,1,0,0,0,1
7/5/2016,0,1,0,4,2,6,0,14,0,11,0,15,0,3,0,2,0,1,0,2,0,1,0,3,0,1,0,4
8/5/2016,0,0,0,2,0,4,0,8,0,15,0,9,0,0,0,0,0,0,0,1,0,2,0,3,0,1,0,2
9/5/2016,0,0,0,3,0,4,0,12,0,7,0,9,0,2,0,1,1,3,0,3,0,1,0,1,0,0,0,5
10/5/2016,0,1,0,3,1,5,0,14,1,6,0,5,0,1,0,3,0,0,0,1,0,3,0,1,0,0,0,0
11/5/2016,0,1,0,2,0,6,0,8,0,5,0,14,0,2,0,1,0,0,0,1,0,5,0,1,0,1,0,2
12/5/2016,0,0,0,3,0,5,0,18,0,3,0,6,0,1,0,1,0,1,0,1,0,0,0,3,0,1,0,0
13/5/2016,0,0,0,2,0,5,0,15,1,6,0,16,0,3,0,0,0,1,0,1,1,4,0,4,0,0,0,3
14/5/2016,0,1,0,4,0,4,0,10,0,15,0,6,0,4,0,3,0,0,0,2,0,1,0,7,0,1,0,1
15/5/2016,0,3,0,2,0,3,0,9,1,5,0,4,0,3,0,2,0,1,0,2,0,2,0,4,0,1,0,4
16/5/2016,0,1,0,2,1,5,0,6,2,10,0,7,0,4,0,3,0,0,0,5,0,2,0,3,0,0,0,1
17/5/2016,0,1,0,1,1,7,0,10,0,3,0,11,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,3
18/5/2016,0,2,0,2,0,7,0,17,1,10,0,9,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,2
19/5/2016,0,1,0,2,0,7,0,11,0,10,0,8,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
20/5/2016,0,0,0,1,1,7,0,10,0,6,0,10,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1
21/5/2016,0,5,0,3,0,8,0,3,0,11,0,9,0,0,0,6,0,4,0,1,0,3,0,1,1,0,0,2
22/5/2016,0,0,0,1,0,4,0,8,0,6,0,7,1,0,0,6,0,3,0,0,1,2,0,1,0,2,0,1
23/5/2016,0,2,0,4,2,6,0,12,0,4,0,8,0,3,0,2,0,1,0,1,0,2,0,1,0,0,0,0
24/5/2016,0,0,0,0,1,5,0,8,1,2,0,9,0,0,0,3,0,1,0,3,0,0,0,1,0,2,0,1
25/5/2016,0,0,0,2,0,8,0,9,0,8,0,14,0,0,0,1,0,1,0,1,0,2,0,5,0,2,0,1
26/5/2016,0,2,0,4,0,6,0,14,0,7,0,10,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0
27/5/2016,0,1,0,0,0,5,0,11,0,3,0,11,0,4,0,2,0,1,0,3,0,2,0,2,0,0,0,1
28/5/2016,0,1,0,1,0,4,0,14,0,7,0,9,0,0,0,1,0,3,0,1,0,2,0,5,0,0,0,1
29/5/2016,0,0,0,0,0,3,0,7,0,6,0,3,0,0,0,1,0,1,0,1,1,0,0,3,1,1,0,2
30/5/2016,0,1,0,0,0,12,0,13,0,6,0,11,1,0,0,0,1,0,0,4,0,2,0,1,0,0,0,1
31/5/2016,0,1,0,2,0,7,0,20,0,9,0,14,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,2
1/6/2016,0,0,0,1,0,9,0,12,0,6,0,8,1,1,0,0,0,1,0,2,0,3,0,2,0,1,0,1
2/6/2016,0,1,0,0,0,13,0,17,0,9,0,14,0,3,0,2,0,1,0,0,0,1,0,3,0,1,0,2
3/6/2016,0,1,0,3,0,3,0,18,0,9,0,18,0,3,0,1,0,0,0,0,0,1,0,3,0,0,0,2
4/6/2016,0,0,0,4,0,11,0,14,0,11,0,11,0,1,0,2,0,0,0,4,0,3,0,2,0,0,0,1
5/6/2016,0,0,0,3,1,8,0,9,0,10,0,5,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1
6/6/2016,1,1,0,1,0,5,0,6,0,10,0,12,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,4
7/6/2016,0,0,0,1,0,2,0,15,0,8,0,7,0,3,0,1,0,0,0,3,0,1,0,3,0,2,0,3
8/6/2016,0,1,0,0,0,5,0,10,1,6,0,7,0,1,0,3,0,1,0,2,0,1,0,3,0,1,0,2
9/6/2016,0,0,0,3,0,10,0,10,0,5,0,12,0,0,0,0,0,1,0,2,0,1,0,2,0,1,0,4
10/6/2016,1,0,0,3,0,7,0,8,0,8,0,8,0,0,0,2,0,2,0,3,0,0,0,0,0,2,0,2
11/6/2016,1,1,0,1,1,6,0,5,0,6,0,8,0,0,0,2,0,1,0,2,0,1,0,1,0,2,0,4
12/6/2016,0,0,0,5,0,6,0,4,0,7,0,5,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2
13/6/2016,0,2,0,1,0,6,0,5,0,5,0,7,1,4,0,3,0,1,0,3,0,0,0,4,0,1,0,5
14/6/2016,0,1,0,0,0,7,0,8,0,5,0,8,0,0,0,1,0,0,0,2,0,1,0,2,0,1,0,2
15/6/2016,0,1,0,2,0,5,0,16,1,15,0,9,0,0,0,1,0,0,0,1,0,5,0,1,0,2,0,1
16/6/2016,0,1,0,3,1,5,0,12,0,4,0,9,0,0,0,1,0,3,0,2,0,0,0,2,0,1,0,2
17/6/2016,0,1,0,4,0,9,0,14,0,3,0,12,0,1,0,0,0,2,0,1,0,3,0,2,0,0,0,0
18/6/2016,0,2,0,2,0,5,0,11,1,4,0,8,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
19/6/2016,0,1,0,0,0,3,0,8,0,4,0,4,0,1,0,2,0,0,0,3,0,0,0,1,0,1,0,1
20/6/2016,0,0,0,3,1,4,0,9,1,7,0,10,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0
21/6/2016,0,0,0,1,0,4,0,16,0,7,0,6,0,1,0,0,0,3,0,1,0,1,0,7,0,1,0,2
22/6/2016,0,0,0,1,1,6,0,11,0,8,0,11,0,0,0,0,0,0,0,1,0,1,0,3,0,1,0,1
23/6/2016,0,0,0,1,1,9,0,9,0,9,0,13,0,2,0,2,0,3,0,1,0,1,0,2,0,0,0,1
24/6/2016,0,1,0,3,0,4,0,12,0,7,0,14,0,0,0,1,0,0,0,4,0,0,0,2,0,1,0,2
25/6/2016,0,2,0,4,0,2,0,10,0,4,0,9,1,2,0,1,0,1,0,2,0,0,0,0,1,3,0,3
26/6/2016,0,3,0,2,0,8,0,4,0,4,0,5,0,2,0,1,0,2,0,2,1,0,0,3,0,1,0,1
27/6/2016,0,1,0,1,1,6,0,5,0,8,0,13,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28/6/2016,0,0,0,0,1,6,0,9,0,6,0,6,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1
29/6/2016,0,1,0,3,0,4,0,4,0,7,0,12,0,1,0,0,0,2,0,0,0,1,0,2,0,1,0,0
30/6/2016,0,0,0,1,0,2,0,12,0,3,0,4,0,1,0,2,0,0,0,2,0,2,0,2,0,2,0,1
1/7/2016,0,1,0,2,0,5,0,9,0,5,0,8,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
2/7/2016,0,1,0,1,0,6,0,7,0,5,0,9,1,0,0,0,0,0,0,2,0,1,0,1,0,2,0,4
3/7/2016,0,2,0,2,0,2,0,6,0,7,0,5,0,2,0,1,0,0,0,1,0,1,0,3,0,0,0,0
4/7/2016,0,0,0,0,0,9,0,14,0,7,0,4,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0
5/7/2016,0,1,0,3,0,6,0,9,0,4,0,13,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,3
6/7/2016,0,0,0,3,0,7,0,15,1,6,0,8,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,2
7/7/2016,0,2,0,2,0,5,0,11,0,4,0,10,0,4,0,1,0,2,0,2,0,3,0,2,0,0,0,4
8/7/2016,0,1,0,1,0,7,0,13,0,2,0,7,0,1,0,0,0,0,0,2,1,2,0,4,0,0,0,2
9/7/2016,0,3,0,1,0,6,0,8,0,3,0,10,0,1,0,0,0,2,0,3,0,0,0,3,0,0,0,2
10/7/2016,0,0,0,1,0,4,0,8,0,2,0,4,0,2,0,2,1,1,0,2,0,1,0,2,0,1,0,4
11/7/2016,0,1,0,3,0,1,0,4,0,5,0,10,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1
12/7/2016,0,0,0,1,0,1,0,15,0,5,0,5,0,1,0,1,0,0,0,1,0,2,0,3,1,3,0,2
13/7/2016,0,1,0,4,0,7,0,13,1,14,0,6,1,3,0,1,0,1,0,3,0,1,0,2,0,2,0,3
14/7/2016,0,1,0,4,0,5,0,9,1,4,0,13,0,2,0,0,0,0,0,4,0,0,0,3,0,0,0,0
15/7/2016,0,1,0,2,0,5,0,7,0,6,0,15,0,1,0,1,0,0,0,2,0,1,0,4,0,1,0,0
16/7/2016,1,4,0,2,1,6,0,15,0,8,0,7,0,4,0,5,0,0,0,2,0,2,0,2,0,1,0,3
17/7/2016,0,2,0,2,0,6,0,6,0,8,0,10,0,3,0,2,0,2,0,2,0,2,0,7,0,2,0,5
18/7/2016,0,1,0,3,0,5,0,6,1,5,0,15,0,0,0,2,0,1,0,1,0,2,0,3,0,0,0,1
19/7/2016,0,1,0,1,0,5,0,12,0,8,0,10,0,1,0,1,0,1,0,1,1,1,0,2,0,3,0,2
20/7/2016,0,2,0,2,0,7,0,12,0,10,0,10,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,1
21/7/2016,0,0,0,1,0,7,0,16,0,7,0,12,0,1,0,2,0,2,0,0,0,1,0,2,0,0,0,2
22/7/2016,0,0,0,0,1,11,0,7,0,14,0,9,0,2,0,0,0,2,0,3,0,0,0,3,0,3,0,1
23/7/2016,1,2,0,1,0,8,0,7,0,6,0,8,0,1,0,2,1,1,0,0,0,1,0,0,1,1,0,3
24/7/2016,1,2,0,4,0,6,0,13,0,3,0,4,0,2,0,5,0,3,0,0,1,1,0,1,0,1,0,3
25/7/2016,0,2,0,4,0,5,0,12,1,6,0,10,1,2,0,1,0,0,0,0,1,1,0,2,0,2,0,1
26/7/2016,0,0,0,0,0,4,0,11,0,3,0,9,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2
27/7/2016,1,0,0,1,0,6,0,7,0,6,0,9,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,1
28/7/2016,0,1,0,2,1,2,0,7,0,9,0,7,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,2
29/7/2016,0,1,0,1,0,10,0,8,0,9,0,11,0,1,0,4,1,3,0,3,0,1,0,2,0,2,0,2
30/7/2016,0,0,0,3,1,10,0,13,0,9,0,10,0,1,0,4,0,0,0,3,0,1,0,1,0,0,0,1
31/7/2016,0,3,0,1,0,2,0,8,0,8,0,7,0,1,0,1,0,0,0,2,1,1,0,2,0,0,0,0
1/8/2016,0,2,0,1,0,5,0,17,1,8,0,19,0,1,0,0,0,0,0,3,1,1,0,2,0,1,0,3
2/8/2016,0,1,0,0,0,4,0,12,1,4,0,6,0,1,0,1,0,1,0,2,0,3,0,4,0,1,0,0
3/8/2016,0,1,0,1,0,3,0,10,0,8,0,10,0,2,0,0,0,2,0,3,1,4,0,2,0,1,0,1
4/8/2016,0,1,0,2,0,4,0,7,0,11,0,8,0,1,0,1,0,1,0,1,0,2,0,3,0,0,0,3
5/8/2016,0,1,0,0,0,0,0,11,0,9,0,17,0,1,0,4,0,0,0,2,1,1,0,3,1,0,0,2
6/8/2016,0,2,0,1,0,3,0,7,1,5,0,12,0,1,0,4,0,1,0,0,0,1,0,2,0,1,0,3
7/8/2016,0,0,0,2,0,6,0,4,0,9,0,5,0,4,0,1,0,2,0,2,0,0,0,3,0,0,0,0
8/8/2016,0,0,0,2,0,6,0,10,1,5,0,8,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,2
9/8/2016,0,0,0,1,0,7,0,10,1,6,0,7,0,1,0,3,0,1,0,1,0,0,0,3,0,1,0,1
10/8/2016,0,0,0,0,0,10,0,17,0,6,0,8,0,0,0,2,0,0,0,3,1,1,0,3,0,1,0,2
11/8/2016,0,0,0,1,0,7,0,2,0,8,0,8,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0
12/8/2016,0,1,0,1,1,4,0,12,1,4,0,9,0,1,0,1,0,1,0,3,0,0,0,2,0,0,0,1
13/8/2016,0,2,0,5,1,6,0,7,0,2,0,8,0,3,0,3,0,0,0,1,1,2,0,0,0,1,0,1
14/8/2016,0,1,0,2,0,7,0,10,0,9,0,5,0,1,0,2,1,1,0,3,0,1,0,2,0,1,0,2
15/8/2016,0,1,0,0,0,8,0,10,0,3,0,12,0,0,0,1,0,0,0,4,0,2,0,4,0,0,0,3
16/8/2016,0,1,0,2,0,11,0,10,0,6,0,8,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3
17/8/2016,0,0,0,3,0,4,0,14,0,7,0,12,0,1,0,0,0,1,0,1,0,0,0,5,0,1,0,2
18/8/2016,0,2,0,1,0,5,0,11,0,6,0,8,0,1,0,1,0,0,0,2,1,2,0,2,2,0,0,2
19/8/2016,0,1,0,2,0,10,0,12,0,7,0,6,1,0,0,0,0,2,0,3,0,2,0,1,0,0,0,2
