"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-16","0.02","58","48"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-17","0.00","58","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-18","0.00","59","50"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-19","0.00","69","41"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-20","0.00","72","43"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-21","0.00","63","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-22","0.25","55","45"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-23","0.03","55","45"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-24","0.00","60","37"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-25","0.00","65","39"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-26","0.00","64","44"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-27","0.00","64","45"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-28","0.00","66","42"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-29","0.00","62","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-09-30","0.00","61","48"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-01","0.00","69","39"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-02","0.01","82","48"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-03","0.00","88","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-04","0.00","75","53"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-05","0.00","94","53"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-06","0.00","95","64"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-07","0.00","63","50"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-08","0.00","66","41"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-09","0.00","83","51"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-10","0.00","85","56"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-11","0.01","68","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-12","0.37","61","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-13","0.02","63","42"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-14","0.00","83","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-15","0.00","95","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-16","0.00","73","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-17","0.00","67","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-18","0.00","65","51"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-19","0.00","78","42"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-20","0.00","89","50"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-21","0.02","64","62"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-22","0.06","64","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-23","0.00","64","53"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-24","0.01","69","44"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-25","0.00","90","44"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-26","0.00","63","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-27","0.01","73","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-28","0.00","81","44"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-29","0.00","80","48"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-30","0.00","80","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-10-31","0.12","80","56"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-01","0.07","81","59"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-02","0.04","60","56"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-03","0.04","70","42"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-04","0.00","79","51"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-05","0.56","76","59"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-06","0.73","64","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-07","0.09","62","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-08","0.00","75","44"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-09","0.00","90","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-10","0.00","65","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-11","0.09","68","47"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-12","0.00","69","55"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-13","0.03","66","56"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-14","0.00","66","49"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-15","0.00","68","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-16","0.00","81","48"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-17","0.00","92","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-18","0.00","82","56"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-19","0.01","86","60"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-20","0.03","67","57"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-21","0.08","65","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-22","0.01","67","56"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-23","0.00","69","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-24","0.00","73","55"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-25","0.00","92","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-26","0.01","63","52"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-27","0.00","64","46"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-28","0.00","68","55"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-29","0.00","68","54"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-11-30","0.00","92","48"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-01","0.12","73","58"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-02","0.00","64","51"
"ASN00086077","MOORABBIN AIRPORT, AS","2015-12-03","0.00","70","53"
